Survey Question,Answer Option,Unweighted Frequency,Weighted Percent
"Do you agree or disagree with the following: ""I think I might enjoy smoking a cigarette.""",Strongly agree,734,9.4
"Do you agree or disagree with the following: ""I think I might enjoy smoking a cigarette.""",Agree,605,6.8
"Do you agree or disagree with the following: ""I think I might enjoy smoking a cigarette.""",Disagree,2389,25.2
"Do you agree or disagree with the following: ""I think I might enjoy smoking a cigarette.""",Strongly disagree,4118,49.9
Do any of your closest friends smoke tobacco?,None of them,6811,80.4
Do any of your closest friends smoke tobacco?,Some of them,1313,14.2
Do any of your closest friends smoke tobacco?,Most of them,235,3.4
Do any of your closest friends smoke tobacco?,All of them,169,2.0
Do you think it is safe to smoke tobacco for only a year or two as long as you quit after that?,Definitely not,4133,46.4
Do you think it is safe to smoke tobacco for only a year or two as long as you quit after that?,Probably not,1957,21.6
Do you think it is safe to smoke tobacco for only a year or two as long as you quit after that?,Probably yes,891,12.0
Do you think it is safe to smoke tobacco for only a year or two as long as you quit after that?,Definitely yes,1611,20.0
Do you believe that tobacco companies try to get young people under age 18 to use tobacco products?,Yes,4585,51.1
Do you believe that tobacco companies try to get young people under age 18 to use tobacco products?,No,3731,48.9
